cohortId,cohortNameLong,logicDescription,recommendedReferentConceptIds,ohdsiForumPost,createdDate,modifiedDate
37,"Hepatitis C infection, carrier status or antibody positivity",Earliest diagnosis of Hepatitis C,"197494, 198964",,2021-09-23,2023-09-19
38,Heart disease,Earliest of any Heart disease or arteriosclerosis of coronary artery bypass graft,"313217, 44784217",,2021-09-23,2023-09-19
39,End stage renal disease (FP),"Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future",193782,,2021-09-23,2023-09-19
40,Diabetes Mellitus Type 2 or history of diabetes,Earliest of any Type 2 Diabetes Mellitus or History of Diabetes,"201820, 201826",,2021-09-23,2023-09-19
41,Chronic kidney disease broad (FP),"Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future","192359, 193782",,2021-09-23,2023-09-19
42,End stage renal disease broad (FP),"Withdrawn by contributor before peer review. No clinical description, evaluation or discussions found. May need to be revisited in future",193782,,2021-09-23,2023-09-19
43,Respiratory or pulmonary tuberculosis,Earliest occurrence of respiratory or pulmonary tuberculosis,"253954, 434557",,2021-09-23,2023-09-25
44,COVID-19,all events of COVID-19. Persons exit on cohort end date,37311061,,2021-09-24,2023-09-19
45,COVID-19 diagnosis with SARS-Cov-2 test (-3d to 3d),Withdrawn by contributor before peer review,"439676, 37311061",,2021-09-24,2023-09-19
46,COVID-19 diagnosis and SARS-CoV-2 test (1pos) within 3d,Withdrawn by contributor before peer review,"439676, 37311061",,2021-09-24,2023-09-19
47,COVID-19 diagnosis and SARS-CoV-2 test (1pos) (0neg) within 3d,Withdrawn by contributor before peer review,"439676, 37311061",,2021-09-24,2023-09-19
48,"COVID-19 diagnosis and SARS-CoV-2 test (0pos upto 3d, 1neg within 3d)",Withdrawn by contributor before peer review,"439676, 37311061",,2021-09-24,2023-09-19
51,SARS-CoV-2 test positive result,Withdrawn by contributor before peer review,,,2021-09-24,2023-09-19
52,SARS-CoV-2 test negative result,Withdrawn by contributor before peer review,,,2021-09-24,2023-09-19
53,SARS-CoV-2 test positive or negative result - keep persons with positive,Withdrawn by contributor before peer review,,,2021-09-24,2023-09-19
54,Febrile seizure,All events of Febrile seizures,"377091, 4196708",https://forums.ohdsi.org/t/17895,2021-09-24,2023-09-25
56,SARS-CoV-2 test (1pos) or COVID-19 diagnosis with (0 neg -3d to 3d),All events of Covid Diagnosis without a negative test result or a SARS-Cov-2 test positive test,"439676, 37311061",,2021-09-30,2023-09-19
57,Bleeding,all events of Bleeding. Persons exit on cohort end date,"192671, 437312",https://forums.ohdsi.org/t/17895,2021-09-30,2023-09-19
59,COVID-19 diagnosis with no SARS-CoV-2 test,,"439676, 37311061",,2021-10-05,2023-09-19
60,SARS-CoV-2 test positive and negative result,Withdrawn by contributor before peer review,,,2021-10-05,2023-09-19
61,Bradycardia or heart block with inpatient admission,All events of Bradycardia or heart block or first occurrence of pace maker limited to inpatient visit,"317302, 320425",,2021-10-05,2023-09-25
62,Seizure related finding,all events of Seizure related finding. Persons exit on cohort end date,"377091, 4196708",https://forums.ohdsi.org/t/17895,2021-10-05,2023-09-19
63,"Transverse myelitis or symptoms indexed on symptoms or diagnosis (1Ps, 0Era, 365W)","events with a diagnosis of transverse myelitis indexed on diagnosis of transverse myelitis, related spinal disease or symptoms of transverse myelitis, followed by a diagnosis of transverse myelitis within 30 days. Events have a 365 days washout period. The events persist for 1 day. Symptoms of Transverse Myelitis included asthenia, muscle weakness, myelitis, paresthesia","79908, 139803, 443904",https://forums.ohdsi.org/t/17769,2021-10-05,2023-09-19
64,"Composite Flu-like symptoms fever, cough, malaise, fatigue, dyspnea, myalgia",All events of flue like symptoms or signs,"254761, 312437, 437663, 439926, 442752, 4041664, 4178904, 4272240, 43530714",https://forums.ohdsi.org/t/17895,2021-10-05,2023-09-25
65,Acute pancreatitis with inpatient admission,Withdrawn and replaced by 205,199074,,2021-10-05,2023-09-19
66,Acute renal failure with inpatient admission,Withdrawn by contributor before peer review,197320,,2021-10-05,2023-09-19
67,Hepatic failure with inpatient admission,Withdrawn by contributor before peer review,4245975,,2021-10-05,2023-09-19
68,Heart failure with inpatient admission,Withdrawn by contributor before peer review,"316139, 319835",,2021-10-05,2023-09-19
69,Angioedema with inpatient admission,Withdrawn by contributor before peer review,432791,,2021-10-05,2023-09-19
70,Stroke (ischemic or hemorrhagic) with inpatient admission,all events of ischemic or hemorrhagic stroke in an inpatient or ER visit,443454,,2021-10-05,2023-09-19
71,Acute myocardial infarction with inpatient admission,all events of acute myocardial infarction in an inpatient or ER visit,"314666, 4329847",https://forums.ohdsi.org/t/15900,2021-10-05,2023-09-25
72,Influenza diagnosis or positive test result,"all events of influenza diagnosis, or positive influenza test result","4183609, 4266367",,2021-10-05,2023-09-19
74,Hemorrhagic stroke (intracerebral bleeding) with inpatient admission,all events of hemorrhagic stroke while inpatient or ER setting.,"376713, 439847",,2021-10-05,2023-09-19
75,Ischemic stroke with inpatient admission,all events of ischemic stroke while inpatient or ER setting.,443454,,2021-10-05,2023-09-19
76,Transient ischemic attack with inpatient admission,all events of transient ischemic attack while in inpatient or ER setting,373503,,2021-10-05,2023-09-19
77,Gastrointestinal bleeding with inpatient admission,all events of gastrointestinal hemorrhage in inpatient or ER setting,192671,,2021-10-05,2023-09-19
78,Cardiac arrhythmia with inpatient admission,all events of cardiac arrhythmia or treatments for cardiac arrhythmia in inpatient or ER setting,"313217, 44784217",,2021-10-05,2023-09-19
79,Dialysis with inpatient admission,all events of dialysis in inpatient setting,"438624, 4027133",,2021-10-05,2023-09-19
80,Extracorporeal Membrane Oxygenation with inpatient admission,all events of Extracorporeal Membrane Oxygenation in inpatient setting,,,2021-10-05,2023-09-19
81,Cesarean section,all events of Cesarean section,,,2021-10-05,2023-09-19
82,Intensive services during hospitalization,all events of intensive care service in an inpatient setting,40481547,,2021-10-05,2023-09-19
84,SARS-CoV-2 test (1pos) or COVID-19 diagnosis with (1pos or 0 neg 0d to 3d),all events of positive SAR-CoV-2 test result or Covid-19 diagnosis without a negative test result on or within 3 days of diagnosis,"439676, 37311061",,2021-10-09,2023-09-19
86,SARS-CoV-2 test positive or negative result,Withdrawn by contributor before peer review,,,2021-10-11,2023-09-19
87,SARS-CoV-2 test,Withdrawn by contributor before peer review,,,2021-10-21,2023-09-19
95,Delirium,first occurrence of Delirium,373995,https://forums.ohdsi.org/t/17895,2022-02-04,2023-09-25
100,Alzheimer's disease,all events of Alzheimer's disease. Persons exit on cohort end date,378419,,2022-02-06,2023-09-25
119,"Systemic lupus erythematosus indexed on signs, symptoms, treatment, or diagnosis (FP)",first signs and symptoms suggestive of Systemic lupus erythematosus (SLE) or first treatment suggestive of SLE with SLE diagnosis with 90 days,"138525, 194133",https://forums.ohdsi.org/t/18223,2022-02-10,2023-09-19
123,Suicide attempt or self inflicted injury,Suicide or self inflicted events,444362,,2022-02-11,2023-09-25
134,Attention Deficit Hyperactivity Disorder indexed on diagnosis or treatment,"First occurrence of Attention-deficit hyperactivity disorder (ADHD) condition or related procedures, indexed on the earliest occurrence of ADHD condition, procedure or treatment (limited to drug exposure followed by a related condition or procedure), with 365d prior observation, exit at end of observation","438409, 4047120",https://forums.ohdsi.org/t/15901,2022-02-13,2023-09-19
142,Earliest of ST elevated Myocardial infarction or Acute MI with ST elevation,Earliest of ST elevated Myocardial infarction or Acute Myocardial Infarction with ST elevation,"314666, 4296653, 4329847",https://forums.ohdsi.org/t/15900,2022-02-15,2023-09-25
189,Right upper quadrant pain,all events of Right upper quadrant pain. Persons exit on cohort end date,198263,https://forums.ohdsi.org/t/17895,2022-06-29,2023-09-19
190,Swollen abdomen,all events of Swollen abdomen. Persons exit on cohort end date,"442597, 4152351",https://forums.ohdsi.org/t/17895,2022-06-29,2023-09-19
191,"Fatigue, Asthenia, Malaise, Lethargy, Anorexia","events with a diagnosis of Fatigue, Asthenia, Malaise, Lethargy, Anorexia but not senile, cancer or stroke related asthenia","439926, 4272240",https://forums.ohdsi.org/t/17895,2022-06-29,2023-09-25
192,"Skin, Nasal or oral mucosal bleeding events often seen during thrombocytopenia","all events of Skin, Nasal or oral mucosal bleeding events such as epistaxis. Does not include gastrointestinal bleeding. Limited to bleeding common during thrombocytopenia",4096682,,2022-06-29,2023-09-25
193,Jaundice or Itching,events of jaundice or itching,"137977, 435656",https://forums.ohdsi.org/t/17895,2022-06-29,2023-09-25
194,Encephalopathy or its presentations,events Encephalopathy or its presentations,436222,https://forums.ohdsi.org/t/17895,2022-06-29,2023-09-25
195,Primary or malignant urothelial bladder cancer,all events of Primary or malignant urothelial bladder cancer,"196360, 197508",,2022-06-30,2023-09-19
196,Rheumatoid arthritis or complications,All events of rheumatoid arthritis or complications,80809,,2022-06-30,2023-09-19
197,Coronary Artery Disease from vessel disease to ischemic injury,all occurrence of coronary artery disease,"318443, 764123",,2022-06-30,2023-09-19
198,Crohns disease or its complication,All events of crohns disease or complications,201606,,2022-06-30,2023-09-25
199,Major Depressive Disorder,All events of major depressive disorder,440383,,2022-06-30,2023-09-25
200,Psoriasis of skin,All events of psoriasis of skin,140168,,2022-06-30,2023-09-25
201,Ulcerative colitis or complications,All events of Ulcerative colitis or complications,81893,,2022-06-30,2023-09-25
207,Acquired Pure Red Cell Aplasia,"earliest of acquired pure red cell aplasia indexed on anemia, with no congenital or genetic anemia or constitutional aplasia, and no erroneous measurements such as normal hemoglobin or hematocrit. Persons should not have constitutional aplasia as it represents congenital form of aplasia and should not have bone marrow transplantation","26942, 138723, 4144746",https://forums.ohdsi.org/t/17854,2022-11-10,2024-09-11
208,Febrile Neutropenia or Neutropenic Fever,"All events of febrile neutropenia, indexed on the diagnosis of febrile neutropenia or a fever (diagnosis or measurement) cooccurring with neutropenia (diagnosis or measurement) within 1 day , or a diagnosis of clinically significant infection cooccurring with neutropenia (diagnosis or measurement) within 1 day. Restricted to events overlapping with in an inpatient or emergency room visit and excluding events with a normal neutrophil count (ANC) on index.","257011, 437663, 4170143, 4250734",https://forums.ohdsi.org/t/17876,2022-11-10,2023-09-19
209,"Hemolytic Anemia Extra corpuscular ex hgpathy, memb defect, g6pd","all events of hemolytic anemia, indexed on anemia or hemolysis, without congenital or hereditary causes of hemolytic anemia of membrane, enzyme or RBC structure","435503, 439777, 441269, 4250490",https://forums.ohdsi.org/t/17856,2022-11-11,2023-09-19
210,"Hemolytic Anemia Extra corpuscular ex hgpathy, memb defect","all events of hemolytic anemia, indexed on anemia or hemolysis, without congenital or hereditary causes of hemolytic anemia of membrane, or RBC structure. Persons with enzyme disorder (e.g. G-6-PD deficiency) are not excluded","435503, 439777, 441269, 4250490",https://forums.ohdsi.org/t/17856,2022-11-11,2024-10-02
211,"Pancytopenia, Acquired","All events of Pancytopenia, indexed on diagnosis or lab results. Excluded are patients with severe congenital blood disorders that may cause pancytopenia any time prior to 7 days post index. Exist cohort at 60 days post end date. Repeated events will be combined into events eras if they are within 365 days of each other.",432881,,2022-11-11,2024-09-11
213,Neutropenia or unspecified leukopenia,"All events of neutropenia indexed on diagnosis or lab results, with no congenital or genetic neutropenia all days pre to 7 days post index. Also excluded, events with normal neutrophil count or a diagnosis of Neutrophilia on index. patients exit 21 days post end date or with the occurrence of a normal neutrophil count. Reoccurring events for the same patients will be combined into event eras if they are within 365 days of each other.",435224,https://forums.ohdsi.org/t/17409,2022-11-11,2024-09-11
214,Acquired Isolated Neutropenia or unspecified leukopenia,"all events of neutropenia indexed on diagnosis or lab results with no congenital or genetic neutropenia, and no other cell lines reduced at the same time",435224,https://forums.ohdsi.org/t/17409,2022-11-11,2023-09-19
215,Isolated Immune Thrombocytopenia,"events of Immune Thrombocytopenia (ITP) with no evidence of congenital or genetic thrombocytopenia, and no simultaneous neutropenia, pancytopenia, bone marrow involvement, anemia.","433749, 4103532",,2022-11-11,2023-09-19
216,Isolated Immune Thrombocytopenia in absence of common thrombocytopenia causes,"events of Immune Thrombocytopenia (ITP) with no evidence of congenital or genetic thrombocytopenia, and no simultaneous neutropenia, pancytopenia, bone marrow involvement, anemia. Persons exit after 180 days or when they have normal platelet count. Also no evidence of common causes of thrombocytopenia including hypersplenism, antiphospholipid syndrome, paroxysmal noctural hemoglobinuria, hemolytic uremic syndrome, thrombotic microangiopathy, major autoimmune disorders, chronic liver disease, pregnancy HELLP, tumors of hematopoietic cells or nutritional deficiency","433749, 4103532",,2022-11-11,2024-09-11
217,Thrombotic microangiopathy (TMA) or Microangiopathic hemolytic anemia (MAHA),Earliest events of Immune Thrombotic microangiopathy or microangiopathic hemolytic anemia indexed on the diagnosis or its treatment or investigation. Events with congenital or genetic thrombocytopenia all time prior to 7 days post index are excluded. Also excluded are patients with Platelet count > 150. cohort exit is 7 days post end date or an occurrence of a normal platelet measure .,"313800, 4119134",,2022-11-11,2023-10-16
218,Rhabdomyolysis,"All events of rhabdomyolysis, indexed on a diagnosis or an observation of of Rhabdomyolysis or Myoglobinuria or a diagnosis of Muscle, ligament and fascia disorders co-occurring with a measurement of creatine kinase that is 5 times above the normal range- within 7 days. With no such events in the last 180 days washout period. Restricted to events that overlap with an inpatient visit. Events are excluded if they had recent trauma such as burn, drowning, hypothermia, hyperthermia, hyperpyrexia, crush syndrome, sepsis, march myoglobinuria, exertional rhabdomyolysis or alcohol intoxication, in the last 14 days including index. cohort exit 0 days post end date.","137967, 4345578",,2022-11-11,2024-09-11
219,Sudden Cardiac arrest or cardiac death,"Earliest event of Sudden Cardiac arrest or Cardiac death, indexed on diagnosis or observation of cardiac arrest or cardiac death or a procedures of resuscitation. Restricting to events overlapping an inpatient or ER visit. Cohort exist is 1 day post cohort end date.",321042,,2022-11-11,2024-09-11
220,Angioedema,"all events of angioedema, with no recent cardiac edema, cellulitis, erysipelas, dermatitis or eczema, lymphedema or insect bites",139900,,2022-11-11,2023-09-25
221,Anaphylaxis Non Environmental exposure related,"all events of anaphylaxis that is not due to environmental etiology and no food, substance, insect bite or sting, poisoning as an explanation for anaphylaxis",441202,https://forums.ohdsi.org/t/17835,2022-11-11,2023-09-25
222,"Stevens-Johnson syndrome, toxic epidermal necrolysis spectrum","Earliest event of Stevens-Johnson syndrome, Toxic epidermal necrolysis spectrum, indexed on diagnosis of Stevens-Johnson syndrome, Toxic epidermal necrolysis spectrum. Restricting to events overlapping an inpatient or ER visit. Cohort exist is 1 day post cohort end date.",141651,,2022-11-11,2024-09-11
223,Posterior reversible encephalopathy syndrome PRES,all events of posterior reversible encephalopathy syndrome with no hypertensive encephalopathy or eclampsia,42872891,,2022-11-12,2023-09-19
224,Long QT Syndrome or QT prolonged (Acquired),all events of Long QT or QT prolonged. Exclude persons with congenital QT syndrome,314664,,2022-11-12,2023-09-19
225,Drug-induced Lupus,all events of drug induced lupus with no Systemic Lupus Erythematosus,"4063581, 4198217",,2022-11-12,2023-09-19
226,Drug reaction with eosinophilia and systemic symptoms,all events of Drug reaction with eosinophilia and systemic symptoms. Persons exit on cohort end date,45765791,,2022-11-12,2023-09-19
227,Severe Cutaneous Adverse Reaction SCAR (SJS+TEN+DRESS+EM),"all events of Drug Rash With Eosinophilia and Systemic Symptoms (DRESS), Erythema Multiforme, Stevens-Johnson Syndrome or Toxic-Epidermal necrolysis","132702, 141651, 45765791",,2022-11-12,2023-09-19
228,Severe Cutaneous Adverse Reaction SCAR (SJS+TEN+DRESS),"all events of Drug Rash With Eosinophilia and Systemic Symptoms (DRESS), Stevens-Johnson Syndrome or Toxic-Epidermal necrolysis","141651, 45765791",,2022-11-12,2023-09-19
229,Progressive multifocal leukoencephalopathy,"Earliest occurrence of progressive multifocal leukoencephalopathy, indexed on diagnosis of multifocal leukoencephalopathy. Cohort exist at the end of observation period",433957,,2022-11-12,2024-09-11
230,Autoimmune hepatitis,"all events of autoimmune hepatitis with no chronic liver diseases that may have similar presentation up to 365days prior such as viral hepatitis, drug induced liver injury, alcoholic liver disease, and no systemic lupus erythematosus in past 365 days",200762,,2022-11-12,2023-09-19
231,Erythema multiforme,all events of Erythema multiforme. Persons exit on cohort end date,132702,,2022-11-12,2023-09-19
232,Paresthesia,all events of paresthesia,4090425,https://forums.ohdsi.org/t/17895,2022-11-12,2023-09-25
233,Hemorrhagic stroke,all events of hemorrhagic stroke during an inpatient or ER visit,"376713, 439847",,2022-11-12,2023-09-19
234,"Appendicitis (1Pe, 180Era)",events of appendicitis with an inpatient or ER visit with no events in 365 days clean window,"440448, 441604",https://forums.ohdsi.org/t/18188,2022-11-12,2023-09-19
235,Guillain Barre syndrome inpatient,earliest event of Guillain Barre Syndrome during inpatient or ER stay,374925,,2022-11-12,2023-09-25
236,Idiopathic Peripheral Neuropathy,all events of idiopathic peripheral neuropathy,"375806, 4175154",,2022-11-12,2023-09-25
237,Kawasaki disease,events of Kawasaki's disease,314381,,2022-11-12,2023-09-25
238,Optic neuritis,all events of Optic neuritis. Persons exit on cohort end date,374954,,2022-11-12,2023-09-19
239,Narcolepsy events,All events of Narcolepsy (includes cataplexy with narcolepsy) with no such events in prior clean window period (365 days). Persons should not be diagnosed with hypersomnia. Persons exit the cohort on end_date + 90 days as persons are assumed to have the condition for at least 90 days,436100,https://forums.ohdsi.org/t/17784,2022-11-12,2023-09-21
240,Muscle weakness or monoplegia,events of muscle weakness or monoplegia with no events in prior 365 days clean window,79908,,2022-11-12,2023-09-25
241,Urticaria,all events of Urticaria. Persons exit on cohort end date,139900,https://forums.ohdsi.org/t/17895,2022-11-12,2023-09-19
243,Tinnitus,events of tinnitus,377575,https://forums.ohdsi.org/t/17895,2022-11-12,2023-09-25
244,Dizziness or giddiness including motion sickness and vertigo,events of dizziness,"433316, 4223938",https://forums.ohdsi.org/t/17895,2022-11-12,2023-09-25
245,Hepatic Thrombosis,first event of hepatic thrombosis,196715,,2022-11-12,2023-09-19
246,Portal vein thrombosis,first event of portal vein thrombosis,199837,,2022-11-12,2023-09-19
247,Deep Vein Thrombosis DVT,first event of non obstetric Deep Vein Thrombosis,"4133004, 43531681",https://forums.ohdsi.org/t/17769,2022-11-12,2023-09-19
248,Disseminated intravascular coagulation DIC in inpatient visit,events of Disseminated Intravascular Coagulation in an inpatient or ER setting with no events in prior 365 day window,436093,,2022-11-12,2023-09-25
249,Ischemic (Non-hemorrhagic) Stroke In Inpatient,events of cerebral infarction while in an inpatient or ER setting,443454,,2022-11-12,2023-09-25
251,Acute pancreatitis,events of acute pancreatitis in an inpatient or emergency setting and no history of chronic pancreatitis or hereditary or congenital pancreatitis,"4192640, 199074",https://forums.ohdsi.org/t/17848,2022-11-15,2023-09-25
253,Drug Induced Acute pancreatitis,"events of acute pancreatitis in an inpatient or emergency setting with no events in prior washout window of 365 days, and no history of chronic pancreatitis or hereditary or congenital pancreatitis. Events with other explanations for acute pancreatitis such as alcoholic pancreatitis, severe alcoholism, recent alcohol intoxication, cholangitis or cholecystitits, biliary tract disease, endoscopic retrograde cholangiopancreatography, intestinal ischemia or obstruction or not eligible","4192640, 199074, 4340961",https://forums.ohdsi.org/t/17848,2022-11-15,2023-09-25
254,Drug Resistant Epilepsy,"first occurrence of epilepsy in inpatient, of subsequent epilepsy in an outpatient setting after another outpatient epilepsy visit more than 30 days before, or anti-epileptic drug on or after a diagnosis of epilepsy. Limit to persons with at least two different anti epilepsy drug or diagnosis of intractable epilepsy on or after index date","377091, 380378, 4029498",https://forums.ohdsi.org/t/17569,2022-11-17,2023-09-19
255,"Alzheimer's disease (based on Imfeld, 2013)",this is an approximation of algorithm published by Imfeld et.al 2013,"378419, 4182210",,2022-11-18,2023-09-19
256,Facial Palsy lower motor neuron including Bells Palsy,events of facial palsy with 183 days washout period. Remove persons with congenital facial palsy. Remove events with upper motor neuron disease suggestive of stroke,"374923, 4091559",https://forums.ohdsi.org/t/17788,2022-11-22,2023-09-21
257,Emergency room visits or code,All events of Emergency Room visits or code,,,2022-11-22,2023-09-19
258,Anaphylaxis or Anaphylactic shock events,all events of anaphylaxis or anaphylaxis shock due to serum with no events in prior clean window,441202,https://forums.ohdsi.org/t/16033,2022-11-28,2023-09-19
259,Anaphylaxis all cause,all events of anaphylaxis,441202,https://forums.ohdsi.org/t/18193,2022-11-28,2023-09-25
260,ST elevated myocardial infarction with inpatient admission,all events of ST segment acute myocardial infarction in an inpatient or ER visit,"314666, 4296653, 4329847",https://forums.ohdsi.org/t/15900,2022-11-29,2023-09-25
261,Non ST elevated myocardial infarction with inpatient admission,all events of Non ST segment acute myocardial infarction in an inpatient or ER visit,"314666, 4329847",https://forums.ohdsi.org/t/15900,2022-11-29,2023-09-25
262,Unstable Angina with inpatient admission,all events of Unstable Angina in an inpatient or ER visit,315296,https://forums.ohdsi.org/t/15900,2022-11-29,2023-09-19
263,Unstable Angina OR NSTEMI with inpatient admission,all events of Unstable Angina or NSTEMI in an inpatient or ER visit,"314666, 4329847",https://forums.ohdsi.org/t/15900,2022-11-29,2023-09-19
264,Acute Hepatic Failure in persons with liver disease,Events of Hepatic Failure. Persons should have prior liver disease,4245975,,2022-11-29,2023-09-19
265,Drug Induced Acute Hepatic Failure,first occurrence of Hepatic Failure and no other liver problems in past,4245975,,2022-11-29,2023-09-19
267,"Acute Kidney Injury AKI, in persons with chronic kidney disease","all events of Acute Kidney Injury with washout period of 30 days. Persons should have chronic kidney disease that is is not ESKD, and should be not on chronic dialysis or had kidney transplant. Acute Kidney Injury (AKI) indexed on a diagnosis of Acute kidney injury or a Dialysis procedure at a medicare certified esrd facility for acute kidney injury without esrd, excluding events/patients with 1. a diagnosis of End-Stage Kidney Disease in the 365 days before AKI occurrence 2. patients receiving chronic dialysis defined as more than 3 recorded events of dialysis in 365 days before AKI occurrence 3. kidney Transplant any time prior applying a washout period of 30 days between observed events. patients exit the cohort 7 days post index",197320,,2022-11-29,2023-09-19
268,"Acute Kidney Injury AKI, in persons with NO chronic kidney disease","all events of Acute Kidney Injury with washout period of 30 days. Persons should have chronic kidney disease that is is not ESKD, and should be not on chronic dialysis or had kidney transplant. Acute Kidney Injury (AKI) indexed on a diagnosis of Acute kidney injury or a Dialysis procedure at a medicare certified esrd facility for acute kidney injury without esrd, excluding events/patients with 1. a diagnosis of End-Stage Kidney Disease in the 365 days before AKI occurrence 2. patients receiving chronic dialysis defined as more than 3 recorded events of dialysis in 365 days before AKI occurrence 3. kidney Transplant any time prior applying a washout period of 30 days between observed events. patients exit the cohort 7 days post index",197320,,2022-11-29,2023-09-19
269,Acute Kidney Injury AKI,"This accepted cohort was Deprecated because the rule to exclude no chronic dialysis was incorrect. This definition was replaced by 362. Acute Kidney Injury (AKI) indexed on a diagnosis of Acute kidney injury or a Dialysis procedure at a medicare certified esrd facility for acute kidney injury without esrd, excluding events/patients with 1. a diagnosis of End-Stage Kidney Disease in the 365 days before AKI occurrence 2. patients receiving chronic dialysis defined as more than 3 recorded events of dialysis in 365 days before AKI occurrence 3. kidney Transplant any time prior applying a washout period of 30 days between observed events. patients exit the cohort 7 days post index",197320,https://forums.ohdsi.org/t/16067,2022-11-29,2023-09-19
